country,track.id,track name,popularity,date
Afghanistan,1H3wToovpyqCONeV0cmyQ1,Falling In Love With You,37.0,2023-02-28
Afghanistan,6cCeakwNBqioiERdp5DEfY,Bordi Dele Man,35.0,2023-02-28
Afghanistan,5WDcodAxYMFQUPIegRSHQe,Aaftaab,33.0,2023-02-28
Afghanistan,4nFpsoAmwiukVx8hBkgMrY,Aziz Jan & Jigar Jan,32.0,2023-02-28
Afghanistan,3bYjKZjHc2B5F5T8iOHl53,Yaarakem Amad,32.0,2023-02-28
Afghanistan,5BmhAS6SZ7QvF4gweAeko0,Dukhtar e Khana,32.0,2023-02-28
Afghanistan,405nq7NaNmcEtmJTS6HPIM,Let's Dance,31.0,2023-02-28
Afghanistan,4wiwEGBpA8kIjOZWmzdqaC,Baa Namak,31.0,2023-02-28
Afghanistan,2asqlHo8uh3XYi1txel1SC,Qhad Mega,30.0,2023-02-28
Afghanistan,0T0VHAR2Azn2LvR8zkzsVY,Delbar Lajbaz,30.0,2023-02-28
Afghanistan,5xLiCig0D8hcdjuPu1PZ8y,Laleh,30.0,2023-02-28
Afghanistan,1RAAP6QpU9TXLx8x5To3aj,Bache Kabul,29.0,2023-02-28
Afghanistan,3fvmOZtOaYKz8Y78AZWkfJ,Dokhtare Kabul,28.0,2023-02-28
Afghanistan,1IBb78F2AcDdUxcsWjJAV2,Maida Maida,27.0,2023-02-28
Afghanistan,0RLi7ezE2by2QnGtK3K73O,Zim Zim Zim,27.0,2023-02-28
Afghanistan,1Y47pmUsGX4wbLZBmUkz6F,Ishq,26.0,2023-02-28
Afghanistan,6MYG2kFAMghROApHw5NM3o,Tu Ke Mori,26.0,2023-02-28
Afghanistan,1PJPBU8TuqAUaa9LNQg1R4,BadaBada,25.0,2023-02-28
Afghanistan,5VXneCee7kCgRzh5WUKvGN,Ai Janam,24.0,2023-02-28
Afghanistan,7yOFFIJmHrTltIiC1ffO9W,نصیب,22.0,2023-02-28
Afghanistan,7ac9xsn9YboFutz3ksJ6ez,Jan E Man,22.0,2023-02-28
Afghanistan,7pItIT3NzNwkwWumeWz3n5,Asheqi,21.0,2023-02-28
Afghanistan,4O1ayqzuDbdhyrTWPuM2Js,Shakar,19.0,2023-02-28
Afghanistan,4ZkQDrWd9JTAqKexQUgNTV,Dam Ma Da Dam To,18.0,2023-02-28
Afghanistan,089gk3HY4uffUkiZ8LziSE,Hadya,17.0,2023-02-28
Afghanistan,3Tnr5WVkQH7i1AZu1hNDbb,Omre Dubara,16.0,2023-02-28
Afghanistan,5TWhZnqVrqtQjCefhjoIMn,Meyayam,15.0,2023-02-28
Afghanistan,2BgIyjBPYn6ADP2GSSHAz4,Romantic Medley Tribute To Ahmad Zahir,14.0,2023-02-28
Afghanistan,299l6TM6mjU2effVVoSXHP,ISHQ,14.0,2023-02-28
Afghanistan,7Lm7awXEetvOPKVTcig1ra,Afghanistan Watanem,13.0,2023-02-28
Afghanistan,1ikY4ZPweXioHsh5q0IV36,Bia Janam,12.0,2023-02-28
Afghanistan,5B1L86EpOt23vmxdelYJE1,Khumar,12.0,2023-02-28
Afghanistan,57hB9xfWsbchQ3Jobv33fj,Attan,12.0,2023-02-28
Afghanistan,3PvPoVCkwkUTs9L7IbF8sm,Asir,10.0,2023-02-28
Afghanistan,7oNRHAjJhu3r3hnuPYYJ7p,Khaterat,3.0,2023-02-28
Afghanistan,0mgOynoDqpf84uhMskKJJf,To Ra Khahanam,3.0,2023-02-28
Afghanistan,49PdFRDXndbhk1OHcGjroD,To Rafti,2.0,2023-02-28
Afghanistan,0OEdMS7XSrCvjYhsGelaVu,Ashiq Bemanim,1.0,2023-02-28
