country,track.id,track name,popularity,danceability,energy,acousticness,liveness,tempo
Afghanistan,6cCeakwNBqioiERdp5DEfY,Bordi Dele Man,36.0,0.841,0.829,0.55,0.5,125.035
Afghanistan,1H3wToovpyqCONeV0cmyQ1,Falling In Love With You,35.0,0.421,0.0343,0.91,0.092,92.979
Afghanistan,5WDcodAxYMFQUPIegRSHQe,Aaftaab,34.0,0.694,0.409,0.845,0.113,112.998
Afghanistan,4nFpsoAmwiukVx8hBkgMrY,Aziz Jan & Jigar Jan,33.0,0.873,0.755,0.572,0.0194,111.028
Afghanistan,3bYjKZjHc2B5F5T8iOHl53,Yaarakem Amad,33.0,0.668,0.865,0.161,0.697,137.996
Afghanistan,5BmhAS6SZ7QvF4gweAeko0,Dukhtar e Khana,33.0,0.829,0.783,0.16,0.0458,140.026
Afghanistan,405nq7NaNmcEtmJTS6HPIM,Let's Dance,32.0,0.674,0.881,0.111,0.0828,169.932
Afghanistan,4wiwEGBpA8kIjOZWmzdqaC,Baa Namak,32.0,0.678,0.728,0.332,0.104,95.455
Afghanistan,7yaxxwxt3aeWuMWtwCo1Zu,Baz Amadi Aye Jane Man,31.0,0.419,0.403,0.925,0.136,132.056
Afghanistan,0T0VHAR2Azn2LvR8zkzsVY,Delbar Lajbaz,31.0,0.836,0.903,0.233,0.191,128.007
Afghanistan,2asqlHo8uh3XYi1txel1SC,Qhad Mega,30.0,0.749,0.712,0.73,0.183,89.995
Afghanistan,5xLiCig0D8hcdjuPu1PZ8y,Laleh,30.0,0.678,0.801,0.145,0.0624,130.008
Afghanistan,3fvmOZtOaYKz8Y78AZWkfJ,Dokhtare Kabul,29.0,0.716,0.699,0.4,0.369,95.007
Afghanistan,0RLi7ezE2by2QnGtK3K73O,Zim Zim Zim,28.0,0.701,0.904,0.0339,0.146,134.982
Afghanistan,1IBb78F2AcDdUxcsWjJAV2,Maida Maida,27.0,0.801,0.708,0.332,0.123,90.053
Afghanistan,6MYG2kFAMghROApHw5NM3o,Tu Ke Mori,27.0,0.772,0.905,0.00548,0.143,115.001
Afghanistan,5VXneCee7kCgRzh5WUKvGN,Ai Janam,25.0,0.786,0.757,0.49,0.186,114.005
Afghanistan,7yOFFIJmHrTltIiC1ffO9W,نصیب,23.0,0.425,0.353,0.905,0.126,154.879
Afghanistan,7ac9xsn9YboFutz3ksJ6ez,Jan E Man,23.0,0.634,0.857,0.0538,0.161,104.819
Afghanistan,4O1ayqzuDbdhyrTWPuM2Js,Shakar,20.0,0.408,0.785,0.259,0.183,113.031
Afghanistan,4ZkQDrWd9JTAqKexQUgNTV,Dam Ma Da Dam To,20.0,0.606,0.879,0.41,0.0826,184.814
