country,track.id,track name,popularity,date,danceability,energy,acousticness,liveness,tempo
Afghanistan,1H3wToovpyqCONeV0cmyQ1,Falling In Love With You,37.0,2023-02-28,0.421,0.0343,0.91,0.092,92.979
Afghanistan,6cCeakwNBqioiERdp5DEfY,Bordi Dele Man,35.0,2023-02-28,0.841,0.829,0.55,0.5,125.035
Afghanistan,5WDcodAxYMFQUPIegRSHQe,Aaftaab,33.0,2023-02-28,0.694,0.409,0.845,0.113,112.998
Afghanistan,4nFpsoAmwiukVx8hBkgMrY,Aziz Jan & Jigar Jan,32.0,2023-02-28,0.873,0.755,0.572,0.0194,111.028
Afghanistan,3bYjKZjHc2B5F5T8iOHl53,Yaarakem Amad,32.0,2023-02-28,0.668,0.865,0.161,0.697,137.996
Afghanistan,5BmhAS6SZ7QvF4gweAeko0,Dukhtar e Khana,32.0,2023-02-28,0.829,0.783,0.16,0.0458,140.026
Afghanistan,405nq7NaNmcEtmJTS6HPIM,Let's Dance,31.0,2023-02-28,0.674,0.881,0.111,0.0828,169.932
Afghanistan,4wiwEGBpA8kIjOZWmzdqaC,Baa Namak,31.0,2023-02-28,0.678,0.728,0.332,0.104,95.455
Afghanistan,2asqlHo8uh3XYi1txel1SC,Qhad Mega,30.0,2023-02-28,0.749,0.712,0.73,0.183,89.995
Afghanistan,0T0VHAR2Azn2LvR8zkzsVY,Delbar Lajbaz,30.0,2023-02-28,0.836,0.903,0.233,0.191,128.007
Afghanistan,5xLiCig0D8hcdjuPu1PZ8y,Laleh,30.0,2023-02-28,0.678,0.801,0.145,0.0624,130.008
Afghanistan,1RAAP6QpU9TXLx8x5To3aj,Bache Kabul,29.0,2023-02-28,0.786,0.65,0.393,0.243,95.97
Afghanistan,3fvmOZtOaYKz8Y78AZWkfJ,Dokhtare Kabul,28.0,2023-02-28,0.716,0.699,0.4,0.369,95.007
Afghanistan,1IBb78F2AcDdUxcsWjJAV2,Maida Maida,27.0,2023-02-28,0.801,0.708,0.332,0.123,90.053
Afghanistan,0RLi7ezE2by2QnGtK3K73O,Zim Zim Zim,27.0,2023-02-28,0.701,0.904,0.0339,0.146,134.982
Afghanistan,1Y47pmUsGX4wbLZBmUkz6F,Ishq,26.0,2023-02-28,0.568,0.823,0.0623,0.113,149.995
Afghanistan,6MYG2kFAMghROApHw5NM3o,Tu Ke Mori,26.0,2023-02-28,0.772,0.905,0.00548,0.143,115.001
